group,filename,n,m,t,opt,lower,upper
exactLowTerm,instance001.gr,53,80,4,503,503,503
exactLowTerm,instance003.gr,2500,5000,5,73,73,73
exactLowTerm,instance005.gr,2500,62500,5,15,15,15
exactLowTerm,instance007.gr,157,266,6,1239,1239,1239
exactLowTerm,instance009.gr,57,84,8,926,926,926
exactLowTerm,instance011.gr,64,288,8,23,23,23
exactLowTerm,instance013.gr,640,960,9,4033,4033,4033
exactLowTerm,instance015.gr,640,960,9,3438,3438,3438
exactLowTerm,instance017.gr,640,960,9,4006,4006,4006
exactLowTerm,instance019.gr,640,4135,9,2465,2465,2465
exactLowTerm,instance021.gr,640,4135,9,2171,2171,2171
exactLowTerm,instance023.gr,640,204480,9,1749,1749,1749
exactLowTerm,instance025.gr,640,204480,9,1754,1754,1754
exactLowTerm,instance027.gr,90,135,10,188,188,188
exactLowTerm,instance029.gr,179,293,10,245,245,245
exactLowTerm,instance031.gr,298,503,10,311,311,311
exactLowTerm,instance033.gr,331,560,10,319,319,319
exactLowTerm,instance035.gr,609,932,10,581,581,581
exactLowTerm,instance037.gr,777,1239,10,566,566,566
exactLowTerm,instance039.gr,875,1522,10,604,604,604
exactLowTerm,instance041.gr,898,1562,10,594,594,594
exactLowTerm,instance043.gr,918,1684,10,604,604,604
exactLowTerm,instance045.gr,1290,2270,10,823,823,823
exactLowTerm,instance047.gr,2500,5000,10,145,145,145
exactLowTerm,instance049.gr,3221,5938,10,1550,1550,1550
exactLowTerm,instance051.gr,2500,12500,10,67,67,67
exactLowTerm,instance053.gr,128,227,11,1100361,1100361,1100361
exactLowTerm,instance055.gr,191,302,11,311,311,311
exactLowTerm,instance057.gr,237,390,11,353,353,353
exactLowTerm,instance059.gr,278,478,11,564,564,564
exactLowTerm,instance061.gr,353,608,11,350,350,350
exactLowTerm,instance063.gr,572,963,11,621,621,621
exactLowTerm,instance065.gr,720,1269,11,508,508,508
exactLowTerm,instance067.gr,3675,6709,11,6673,6673,6673
exactLowTerm,instance069.gr,64,192,12,3271,3271,3271
exactLowTerm,instance071.gr,233,386,12,344,344,344
exactLowTerm,instance073.gr,386,653,12,386,386,386
exactLowTerm,instance075.gr,818,1462,12,5250,5250,5250
exactLowTerm,instance077.gr,1981,3633,12,6618,6618,6618
exactLowTerm,instance079.gr,4045,7094,12,1459,1459,1459
exactLowTerm,instance081.gr,110,188,13,1300798,1300798,1300798
exactLowTerm,instance083.gr,346,583,13,457,457,457
exactLowTerm,instance085.gr,125,750,13,20,20,20
exactLowTerm,instance087.gr,125,750,13,-1,33,36
exactLowTerm,instance089.gr,933,1632,13,550,550,550
exactLowTerm,instance091.gr,1359,2458,13,714,714,714
exactLowTerm,instance093.gr,165,274,14,1348,1348,1348
exactLowTerm,instance095.gr,418,723,14,399,399,399
exactLowTerm,instance097.gr,1196,2084,14,745,745,745
exactLowTerm,instance099.gr,193,369,15,1500405,1500405,1500405
exactLowTerm,instance101.gr,311,579,16,1601190,1601190,1601190
exactLowTerm,instance103.gr,402,690,16,393,393,393
exactLowTerm,instance105.gr,712,1217,16,847,847,847
exactLowTerm,instance107.gr,837,1438,16,848,848,848
exactLowTerm,instance109.gr,1051,1791,16,939,939,939
exactLowTerm,instance111.gr,1848,3286,16,914,914,914
exactLowTerm,instance113.gr,6405,10454,16,2256,2256,2256
exactLowTerm,instance115.gr,122,194,17,210,210,210
exactLowTerm,instance117.gr,220,374,17,254,254,254
exactLowTerm,instance119.gr,310,514,17,370,370,370
exactLowTerm,instance121.gr,343,559,17,454,454,454
exactLowTerm,instance123.gr,2039,3548,17,1104,1104,1104
exactLowTerm,instance125.gr,211,380,18,1801464,1801464,1801464
exactLowTerm,instance127.gr,1709,2963,18,926,926,926
exactLowTerm,instance129.gr,3738,7013,18,1570,1570,1570
exactLowTerm,instance131.gr,189,353,19,1900439,1900439,1900439
exactLowTerm,instance133.gr,321,540,20,4132,4132,4132
exactLowTerm,instance135.gr,3683,6717,20,9143,9143,9143
